csv
ClaseT,CodClase,Clase,Mercado,Clase_MC,Linea,Laboratorio,Molecula,Producto,Presentacion,A_MAT_Un_Act,A_MAT_Un_AA,A_YTD_UN_Act,A_YTD_UN_AA,A_TRIM_Un_Act,A_TRIM_Un__1,A_TRIM_Un_AA,A_SEM_Un_Act,A_SEM_AA,A_MES_Un_Act,A_MES_Un__1,A_MES_Un_AA
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",531,737,531,737,134,192,204,326,406,33,55,75
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",820,957,820,957,233,291,242,524,535,68,101,72
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",6,23,6,23,4,,5,4,12,4,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",172,218,172,218,62,53,61,115,119,18,24,14
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",51,66,51,66,15,14,20,29,42,6,4,4
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO",,"NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30",1,1,1,1,1,,1,1,1,1,,
