"CLIENTE","CANTIDAD"
"AGRO CORTEVA ARGENTINA S.R.L","3"
"ALLANMAR INTERNATIONAL COMPANY S.R.L. C","1"
"BIOGENESIS BAGO S.A","2"
"BIOSIX S.A","1"
"CHAMPIONX ARGENTINA S.R.L.","364603"
"CHPM S.R.L.","84932"
"CORTEVA AGRISCIENCE ARGENTINA SRL","1277"
"COSAN LUBRICANTES S.R.L","486981711"
"FRIO STAR S A","1"
"IMCD ARGENTINA SRL","4155"
"INTERNATIONAL FLAVORS & FRAGRANCES S R L","63667"
"KEMIRA ARGENTINA S.A.","95"
"LABORATORIOS SL SA","7250"
"LANXESS SA","82288"
"MAPEI ARGENTINA SA","18"
"MASTELLONE HNOS S A","39"
"PBBPOLISUR SRL","1407094"
"QUIMICA FENIX S.R.L.","244"
"RINDES Y CULTIVOS DAS S.A. - FEDEA S.A. - SUMIDAS JV S.A.- DASER AGRO S.A. - AMBITO DAS S.A. - TERRAMAR JV S.A. - DESAB S.A. U. T. E","1205"
"SOLENIS ARGENTINA S.A.","403281"
"SYNGENTA AGRO SOCIEDAD ANONIMA","4486"
"TEXTER FEED SRL","47047"
"TOYOTA ARGENTINA S A","44340"
"VALVULAS PRECISION DE ARGENTINA S A C I","178"
"VTG SPECIALTY  CHEMICALS S.A","235757"

Si necesitas más información o algún otro análisis, házmelo sabe
