ECHA,CLIENTE,DESCRIPCION,PRODUCTO,CANTIDAD,MONTO,PROVEEDOR
"2023-08-01","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE TRANSPORTE","Transporte","4","739653","VALVULAS PRECISION DE ARGENTINA S A C I"
"2023-08-02","VTG SPECIALTY CHEMICALS S.A","POR SERVICIOS DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Devolucion Cnt/Iso Vacio","1","62866","VTG SPECIALTY CHEMICALS S.A"
"2023-08-02","VTG SPECIALTY CHEMICALS S.A","POR SERVICIOS DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Transporte Cnt/Iso","1","125732","VTG SPECIALTY CHEMICALS S.A"
"2023-08-02","VTG SPECIALTY CHEMICALS S.A","POR SERVICIOS DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Transporte","1","62826","VTG SPECIALTY CHEMICALS S.A"
"2023-08-02","VTG SPECIALTY CHEMICALS S.A","POR SERVICIOS DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Transporte","1","59647","VTG SPECIALTY CHEMICALS S.A"
...
"2023-08-30","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE TRANSPORTE. HLXU 803990-5\tEMB 2022","Devolucion Cnt/Iso Vacio","1","227644","VTG SPECIALTY CHEMICALS S.A"
"2023-08-30","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE TRANSPORTE. REPARTO","Transporte","2","595740","VTG SPECIALTY CHEMICALS S.A"
"2023-08-30","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE TRANSPORTE. REPARTO","Transporte","3","682501","VTG SPECIALTY CHEMICALS S.A"
"2023-08-31","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE ALMACENAJE. PERIODO AGOSTO 2023","Desconsolidado","2","28553","VTG SPECIALTY CHEMICALS S.A"
"2023-08-31","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE ALMACENAJE. PERIODO AGOSTO 2023","Etiquetado","1606","2123645","VTG SPECIALTY CHEMICALS S.A"
"2023-08-31","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE ALMACENAJE. PERIODO AGOSTO 2023","Etiquetado","65","85950","VTG SPECIALTY CHEMICALS S.A"
"2023-08-31","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE ALMACENAJE. PERIODO AGOSTO 2023","Film","159","476115","VTG SPECIALTY CHEMICALS S.A"
"2023-08-31","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE ALMACENAJE. PERIODO AGOSTO 2023","Pallet","1","1455334","VTG SPECIALTY CHEMICALS S.A"
"2023-08-31","VTG SPECIALTY CHEMICALS S.A","POR SERVICIO DE ALMACENAJE. PERIODO AGOSTO 2023","Deposito Fraccionado","5003","231244","VTG SPECIALTY CHEMICALS S.A"
