LIENTE,FECHA,DESCRIPCION,PRODUCTO,CANTIDAD,MONTO
"VTG SPECIALTY CHEMICALS S.A","2023-08-01","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023\t4534136086","Deposito Fraccionado","26624","3133911"
"VTG SPECIALTY CHEMICALS S.A","2023-08-01","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023\t4534136086","Etiquetado","79","28640"
"VTG SPECIALTY CHEMICALS S.A","2023-08-01","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023\t4534136086","Handling Fraccionado","436","1384936"
"VTG SPECIALTY CHEMICALS S.A","2023-08-01","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023\t4534136086","Reingresos","5","15882"
"VTG SPECIALTY CHEMICALS S.A","2023-08-02","POR SERVICIO DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Devolucion Cnt/Iso Vacio","1","62866"
"VTG SPECIALTY CHEMICALS S.A","2023-08-02","POR SERVICIO DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Transporte","2","122473"
"VTG SPECIALTY CHEMICALS S.A","2023-08-02","POR SERVICIO DE TRANSPORTE - DEPOSITOS FISCALES Y TERMINAL EZEIZA","Transporte Cnt/Iso","1","125732"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Deposito Fraccionado","8324","989140"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Deposito Vacio","24","79318"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Etiquetado","629","194581"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Film","91","63748"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Handling Fraccionado","114","135468"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Handling Vacio","1","31801"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Pallet","91","222466"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JULIO 2023","Palletizado","91","219928"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Deposito Fraccionado","10878","1292632"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Deposito Vacio","27","89233"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Desconsolidado","4","115984"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Etiquetado","1917","593023"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Film","188","131699"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Handling Fraccionado","387","459879"
"VTG SPECIALTY CHEMICALS S.A","2023-08-04","POR SERVICIO DE ALMACENAJE. PERIODO JUNIO 2023","Handling Vacio","6","190809"
...
