FECHA,CLIENTE,PRODUCTO,CANTIDAD,MONTO
"2024-03-31","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","186878.57"
"2024-03-31","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","305854.15"
"2024-03-31","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","373994.59"
"2024-03-31","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","406764.46"
"2024-03-31","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","376459.48"
"2024-04-18","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","373994.59"
"2024-04-18","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","244683.32"
"2024-04-18","VTG SPECIALTY  CHEMICALS S.A","Transporte","7.0","1308149.99"
"2024-04-28","VTG SPECIALTY  CHEMICALS S.A","Isotanques","1.0","1072800.0"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","325459.4"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Devolucion Cnt/Iso Vacio","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Devolucion Cnt/Iso Vacio","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","551184.01"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","186878.57"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Muestras","1.0","1183581.76"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","2.0","520735.04"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","2.0","520735.04"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","4.0","795429.92"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","5.0","994287.4"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","5.0","1301837.6"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","397967.64"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","305854.15"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Devolucion Cnt/Iso Vacio","1.0","198983.82"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","586514.9"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","432838.07"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Devolucion Cnt/Iso Vacio","1.0","198983.82"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Devolucion Cnt/Iso Vacio","1.0","198983.82"
"2024-04-30","VTG SPECIALTY  CHEMICALS S.A","Transporte","1.0","325459.4"
"2024-05-03","VTG SPECIALTY  CHEMICALS S.A","Transporte","2.0","795935.28"
"2024-05-08","VTG SPECIALTY  CHEMICALS S.A","Devolucion Cnt/Iso Vacio","1.0","198983.82"
"2024-05-08","VTG SPECIALTY  CHEMICALS S.A","Transporte Cnt/Iso","1.0","397967.64"
"2024-05-08","VTG SPECIALTY  CHEMICALS S.A","Palletizado","2.0","16345.6"
"2024-05-08","VTG SPECIALTY  CHEMICALS S.A","Pallet","2.0","18797.44"
"2024-05-08","VTG SPECIALTY  CHEMICALS S.A","Handling Vacio","2.0","215084.82"
"2024-05-08","VTG SPECIALTY  CHEMICALS S.A","Film","206.0","488007.82"
