CLIENTE,Ventas Agosto 2024
"CHAMPIONX ARGENTINA S.R.L.","24091351.96"
"CHPM S.R.L.","3718555.2"
"CORTEVA AGRISCIENCE ARGENTINA SRL","71866830.36"
"COSAN LUBRICANTES S.R.L","94747379.02"
"IMCD ARGENTINA SRL","1562751.51"
"INTERNATIONAL FLAVORS & FRAGRANCES S R L","7337366.87"
"LABORATORIOS SL SA","597039.67"
"LANXESS SA","18911236.4"
"MASTELLONE HNOS S A","17079609.22"
"PBBPOLISUR SRL","366587241.95"
"QUIMICA FENIX S.R.L.","28515.67"
"RINDES Y CULTIVOS DAS S.A. - FEDEA S.A. - SUMIDAS JV S.A.- DASER AGRO S.A. - AMBITO DAS S.A. - TERRAMAR JV S.A. - DESAB S.A. U. T. E","2303252.58"
"SOLENIS ARGENTINA S.A.","32435982.24"
"SYNGENTA AGRO SOCIEDAD ANONIMA","3376516.8"
"TEXTER FEED SRL","108343.2"
"VALVULAS PRECISION DE ARGENTINA S A C I","5520354.4"
"VTG SPECIALTY  CHEMICALS S.A","55021723.76"
