PRODUCTO","VENTAS 2023","VENTAS 2024","VARIACION ABSOLUTA","VARIACION %"
"Acondicionamiento /Serv Adicionales","2828811","0","-2828811","-100.0"
"Calefaccionado","23196484","30227200","7030715","30.31"
"Crosdocking","124358","585548","461190","370.86"
"Deposito Cnt / Isos","108519736","149902061","41382324","38.13"
"Deposito Fraccionado","438948550","676586786","237638235","54.14"
"Deposito Reefer","738540","0","-738540","-100.0"
"Deposito Vacio","11801010","11113087","-687923","-5.83"
"Desconsolidado","85267472","138499461","53231988","62.43"
"Devolucion Cnt/Iso Vacio","156018254","238691636","82673382","52.99"
"Entamborado","143161104","130636142","-12524962","-8.75"
"Etiquetado","14455116","25421538","10966421","75.87"
"Etiquetas","5859651","8694521","2834870","48.38"
"Film","18173892","13138315","-5035576","-27.71"
"Habilitación De Terminal Día De Semana  Hora Adicional","406700","371654","-35045","-8.62"
"Habilitación De Terminal Día De Semana Las 1° 2Hs","10232672","13250056","3017384","29.49"
"Habilitación De Terminal Fin De Semana  Hora Adicional","73534","877339","803805","1093.11"
"Habilitación De Terminal Fín De Semana Las 1° 2 Hs","1300260","274983","-1025276","-78.85"
"Handling Cnt / Isos","22466667","20917097","-1549569","-6.9"
"Handling Fraccionado","168721575","270148155","101426580","60.11"
"Handling Vacio","16278333","24376725","8098392","49.75"
"Hs. Extras Administrativas","20200","0","-20200","-100.0"
"Hs. Extras Deposito","12940","0","-12940","-100.0"
"Ingresos Extraordinarios Por Vta Bu","2000000","0","-2000000","-100.0"
"Ingresos Extraordinarios Por Vta Bu 10.5%","13084900","0","-13084900","-100.0"
"Isotanques","13490280","29524013","16033733","118.85"
"Lavado Isotanques","822375","3852032","3029657","368.4"
"Muestras","5395582","8701334","3305752","61.27"
"Nitrogeno","24632672","20709637","-3923034","-15.93"
"Pallet","11354557","13354089","1999532","17.61"
"Palletizado","22452028","33512578","11060550","49.26"
"Prewash","665332","0","-665332","-100.0"
"Reingresos","830209","1665927","835717","100.66"
"Rush","32529552","25373938","-7155614","-22.0"
"Servicios Adicionales","1406775","8904508","7497733","532.97"
"Surv- Sched","66520583","91162534","24641950","37.04"
"Transporte","517779913","448944194","-68835718","-13.29"
"Transporte Bulka","279215988","197593237","-81622750","-29.23"
"Transporte Cnt/Iso","549693143","703732755","154039611","28.02"
"Pesadas","0","23076","23076","0.0"
"Toma Inventario","0","10000000","10000000","0.0"
