"ClaseT","CodClase","Clase","Mercado","Clase_MC","Linea","Laboratorio","Molecula","Producto","Presentacion","Provincia","Mes_1_Un","Mes_2_Un","Mes_3_Un","Mes_4_Un","Mes_5_Un","Mes_6_Un","Mes_7_Un","Mes_8_Un","Mes_9_Un","Mes_10_Un","Mes_11_Un","Mes_12_Un","Mes_13_Un","Mes_14_Un","Mes_15_Un","Mes_16_Un","Mes_17_Un","Mes_18_Un","Mes_19_Un","Mes_20_Un","Mes_21_Un","Mes_22_Un","Mes_23_Un","Mes_24_Un","A_MAT_Un_Act","A_MAT_Un_AA","A_YTD_UN_Act","A_YTD_UN_AA","A_TRIM_Un_Act","A_TRIM_Un__1","A_TRIM_Un_AA","A_SEM_Un_Act","A_SEM_AA","A_MES_Un_Act","A_MES_Un__1","A_MES_Un_AA"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","BUENOS AIRES","33.0","55.0","46.0","63.0","62.0","67.0","62.0","52.0","39.0","52.0","52.0","70.0","75.0","57.0","72.0","51.0","65.0","86.0","67.0","90.0","64.0","110.0","75.0","62.0","653.0","874.0","531.0","737.0","134.0","192.0","204.0","326.0","406.0","33.0","55.0","75.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","CAPITAL FEDERAL","68.0","101.0","64.0","93.0","77.0","121.0","85.0","71.0","83.0","57.0","64.0","74.0","72.0","74.0","96.0","91.0","85.0","117.0","98.0","123.0","84.0","117.0","98.0","110.0","958.0","1165.0","820.0","957.0","233.0","291.0","242.0","524.0","535.0","68.0","101.0","72.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","CATAMARCA","4.0","","","","","","","","1.0","1.0","2.0","","","5.0","","2.0","5.0","","","","4.0","7.0","","4.0","8.0","27.0","6.0","23.0","4.0","","5.0","4.0","12.0","4.0","",""
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","CHACO","18.0","24.0","20.0","20.0","18.0","15.0","18.0","19.0","16.0","4.0","9.0","13.0","14.0","24.0","23.0","27.0","17.0","14.0","22.0","32.0","20.0","25.0","13.0","15.0","194.0","246.0","172.0","218.0","62.0","53.0","61.0","115.0","119.0","18.0","24.0","14.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","CHUBUT","6.0","4.0","5.0","2.0","7.0","5.0","9.0","2.0","8.0","3.0","3.0","6.0","4.0","3.0","13.0","5.0","9.0","8.0","9.0","10.0","3.0","2.0","7.0","24.0","60.0","97.0","51.0","66.0","15.0","14.0","20.0","29.0","42.0","6.0","4.0","4.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","CORDOBA","8.0","9.0","2.0","7.0","6.0","12.0","3.0","14.0","7.0","20.0","6.0","9.0","10.0","4.0","16.0","14.0","17.0","17.0","17.0","14.0","18.0","24.0","11.0","19.0","103.0","181.0","88.0","151.0","19.0","25.0","30.0","44.0","78.0","8.0","9.0","10.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","CORRIENTES","14.0","13.0","24.0","19.0","19.0","9.0","15.0","11.0","32.0","24.0","18.0","12.0","36.0","17.0","20.0","22.0","31.0","25.0","30.0","55.0","50.0","37.0","21.0","36.0","210.0","380.0","180.0","323.0","51.0","47.0","73.0","98.0","151.0","14.0","13.0","36.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","ENTRE RIOS","31.0","","9.0","24.0","22.0","20.0","26.0","20.0","19.0","27.0","16.0","31.0","26.0","37.0","30.0","23.0","30.0","35.0","36.0","43.0","43.0","32.0","43.0","31.0","245.0","409.0","198.0","335.0","40.0","66.0","93.0","106.0","181.0","31.0","","26.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","FORMOSA","3.0","3.0","8.0","2.0","5.0","2.0","1.0","7.0","3.0","7.0","4.0","1.0","4.0","7.0","5.0","3.0","3.0","1.0","3.0","4.0","9.0","9.0","","7.0","46.0","55.0","41.0","48.0","14.0","9.0","16.0","23.0","23.0","3.0","3.0","4.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","JUJUY","","4.0","7.0","6.0","6.0","11.0","1.0","10.0","5.0","5.0","5.0","7.0","6.0","7.0","5.0","17.0","16.0","8.0","5.0","11.0","7.0","7.0","13.0","15.0","67.0","117.0","55.0","89.0","11.0","23.0","18.0","34.0","59.0","","4.0","6.0"
