"Mercado","A_MAT_Un_Act"
"ACT","615870"
"ALF","1486726"
"ANA TOPICO","2906605"
"ANA/ANP/DXV","55276891"
"ART","1586529"
"ATU","3116468"
"AZE","1089873"
"B+A","1522237"
"B+C","585986"
"B+D","1152127"
"B+E","3813843"
"B19","922632"
"BAA","2776369"
"BAH","2847106"
"BAP","1346512"
"BAS","4751403"
"BAT","4428665"
"BAX","6444815"
"BBF","1720694"
"BDM","4035208"
"BIL","165198"
"BIZ","916066"
"CAD","6423163"
"CEL","3756686"
"CHI/CHP","547496"
"CVL","5309016"
"D12","3409767"
"DIA","378336"
"DIG","2279576"
"DIP","3816542"
"DIU","2186281"
"DIX","2715315"
"DRI","984984"
"ESV","1594855"
"EXI","1415641"
"FLO","2240455"
"FUR","477791"
"GLF","1092243"
"GLI","10089375"
"GLM","2142969"
"GLP","3784273"
"GLS","8770157"
"GLU","1812993"
"HUM","402285"
"HUN","2802281"
"HYA","2663"
"IBL","5300535"
"INA","1052454"
"LCO","162036"
"LIP","2280382"
"LKC","331617"
"LUC","1467584"
"LUK","1133281"
"MEZ","235051"
"NAC","7642000"
"NAS","961318"
"NER","64992"
"NEX","968540"
"NEY","10027179"
"NIX","9344146"
"NO ASIGNADO","380855226"
"NOB","216442"
"NOC","1816921"
"OCT","451925"
"PAK","891888"
"PIM","16132"
"PRA","2925671"
"PRD","2882872"
"PRM","9792605"
"RAC","767222"
"REZ","2014641"
"ROS","15982004"
"RUB","225117"
"SAK","11856"
"SEP","1937455"
"SER","2930938"
"SIMC/VIT","347788"
"SIMD","110441"
"SIMDE","1598933"
"SIME","100761"
"SIMF","3029279"
"SIMO","971682"
"TOK","1544854"
"TRA","6296534"
"TRK","3030842"
"TRM","5520393"
"TYP","631210"
"ULV","9459471"
"ULZ","1140062"
"UPV","4820353"
